XPOS	person	number	tense	mood	voice	gender	case	degree
GAP	_	_	_	_	_	_	_	_
PUNCT	_	_	_	_	_	_	_	_
adjective	_	sg	_	_	_	fem	acc	pos
adjective	_	sg	_	_	_	fem	acc	comp
adjective	_	sg	_	_	_	fem	acc	sup
adjective	_	sg	_	_	_	fem	dat	pos
adjective	_	sg	_	_	_	fem	dat	comp
adjective	_	sg	_	_	_	fem	dat	sup
adjective	_	sg	_	_	_	fem	gen	pos
adjective	_	sg	_	_	_	fem	gen	comp
adjective	_	sg	_	_	_	fem	gen	sup
adjective	_	sg	_	_	_	fem	nom	pos
adjective	_	sg	_	_	_	fem	nom	comp
adjective	_	sg	_	_	_	fem	nom	sup
adjective	_	sg	_	_	_	fem	voc	pos
adjective	_	sg	_	_	_	fem	voc	comp
adjective	_	sg	_	_	_	fem	voc	sup
adjective	_	sg	_	_	_	masc	acc	pos
adjective	_	sg	_	_	_	masc	acc	comp
adjective	_	sg	_	_	_	masc	acc	sup
adjective	_	sg	_	_	_	masc	dat	pos
adjective	_	sg	_	_	_	masc	dat	comp
adjective	_	sg	_	_	_	masc	dat	sup
adjective	_	sg	_	_	_	masc	gen	pos
adjective	_	sg	_	_	_	masc	gen	comp
adjective	_	sg	_	_	_	masc	gen	sup
adjective	_	sg	_	_	_	masc	nom	pos
adjective	_	sg	_	_	_	masc	nom	comp
adjective	_	sg	_	_	_	masc	nom	sup
adjective	_	sg	_	_	_	masc	voc	pos
adjective	_	sg	_	_	_	masc	voc	comp
adjective	_	sg	_	_	_	masc	voc	sup
adjective	_	sg	_	_	_	neut	acc	pos
adjective	_	sg	_	_	_	neut	acc	comp
adjective	_	sg	_	_	_	neut	acc	sup
adjective	_	sg	_	_	_	neut	dat	pos
adjective	_	sg	_	_	_	neut	dat	comp
adjective	_	sg	_	_	_	neut	dat	sup
adjective	_	sg	_	_	_	neut	gen	pos
adjective	_	sg	_	_	_	neut	gen	comp
adjective	_	sg	_	_	_	neut	gen	sup
adjective	_	sg	_	_	_	neut	nom	pos
adjective	_	sg	_	_	_	neut	nom	comp
adjective	_	sg	_	_	_	neut	nom	sup
adjective	_	sg	_	_	_	neut	voc	pos
adjective	_	sg	_	_	_	neut	voc	comp
adjective	_	sg	_	_	_	neut	voc	sup
adjective	_	sg	_	_	_	none	acc	pos
adjective	_	sg	_	_	_	none	acc	comp
adjective	_	sg	_	_	_	none	acc	sup
adjective	_	sg	_	_	_	none	dat	pos
adjective	_	sg	_	_	_	none	dat	comp
adjective	_	sg	_	_	_	none	dat	sup
adjective	_	sg	_	_	_	none	gen	pos
adjective	_	sg	_	_	_	none	gen	comp
adjective	_	sg	_	_	_	none	gen	sup
adjective	_	sg	_	_	_	none	nom	pos
adjective	_	sg	_	_	_	none	nom	comp
adjective	_	sg	_	_	_	none	nom	sup
adjective	_	sg	_	_	_	none	voc	pos
adjective	_	sg	_	_	_	none	voc	comp
adjective	_	sg	_	_	_	none	voc	sup
adjective	_	pl	_	_	_	fem	acc	pos
adjective	_	pl	_	_	_	fem	acc	comp
adjective	_	pl	_	_	_	fem	acc	sup
adjective	_	pl	_	_	_	fem	dat	pos
adjective	_	pl	_	_	_	fem	dat	comp
adjective	_	pl	_	_	_	fem	dat	sup
adjective	_	pl	_	_	_	fem	gen	pos
adjective	_	pl	_	_	_	fem	gen	comp
adjective	_	pl	_	_	_	fem	gen	sup
adjective	_	pl	_	_	_	fem	nom	pos
adjective	_	pl	_	_	_	fem	nom	comp
adjective	_	pl	_	_	_	fem	nom	sup
adjective	_	pl	_	_	_	fem	voc	pos
adjective	_	pl	_	_	_	fem	voc	comp
adjective	_	pl	_	_	_	fem	voc	sup
adjective	_	pl	_	_	_	masc	acc	pos
adjective	_	pl	_	_	_	masc	acc	comp
adjective	_	pl	_	_	_	masc	acc	sup
adjective	_	pl	_	_	_	masc	dat	pos
adjective	_	pl	_	_	_	masc	dat	comp
adjective	_	pl	_	_	_	masc	dat	sup
adjective	_	pl	_	_	_	masc	gen	pos
adjective	_	pl	_	_	_	masc	gen	comp
adjective	_	pl	_	_	_	masc	gen	sup
adjective	_	pl	_	_	_	masc	nom	pos
adjective	_	pl	_	_	_	masc	nom	comp
adjective	_	pl	_	_	_	masc	nom	sup
adjective	_	pl	_	_	_	masc	voc	pos
adjective	_	pl	_	_	_	masc	voc	comp
adjective	_	pl	_	_	_	masc	voc	sup
adjective	_	pl	_	_	_	neut	acc	pos
adjective	_	pl	_	_	_	neut	acc	comp
adjective	_	pl	_	_	_	neut	acc	sup
adjective	_	pl	_	_	_	neut	dat	pos
adjective	_	pl	_	_	_	neut	dat	comp
adjective	_	pl	_	_	_	neut	dat	sup
adjective	_	pl	_	_	_	neut	gen	pos
adjective	_	pl	_	_	_	neut	gen	comp
adjective	_	pl	_	_	_	neut	gen	sup
adjective	_	pl	_	_	_	neut	nom	pos
adjective	_	pl	_	_	_	neut	nom	comp
adjective	_	pl	_	_	_	neut	nom	sup
adjective	_	pl	_	_	_	neut	voc	pos
adjective	_	pl	_	_	_	neut	voc	comp
adjective	_	pl	_	_	_	neut	voc	sup
adjective	_	pl	_	_	_	none	acc	pos
adjective	_	pl	_	_	_	none	acc	comp
adjective	_	pl	_	_	_	none	acc	sup
adjective	_	pl	_	_	_	none	dat	pos
adjective	_	pl	_	_	_	none	dat	comp
adjective	_	pl	_	_	_	none	dat	sup
adjective	_	pl	_	_	_	none	gen	pos
adjective	_	pl	_	_	_	none	gen	comp
adjective	_	pl	_	_	_	none	gen	sup
adjective	_	pl	_	_	_	none	nom	pos
adjective	_	pl	_	_	_	none	nom	comp
adjective	_	pl	_	_	_	none	nom	sup
adjective	_	pl	_	_	_	none	voc	pos
adjective	_	pl	_	_	_	none	voc	comp
adjective	_	pl	_	_	_	none	voc	sup
adjective	_	dual	_	_	_	fem	acc	pos
adjective	_	dual	_	_	_	fem	acc	comp
adjective	_	dual	_	_	_	fem	acc	sup
adjective	_	dual	_	_	_	fem	dat	pos
adjective	_	dual	_	_	_	fem	dat	comp
adjective	_	dual	_	_	_	fem	dat	sup
adjective	_	dual	_	_	_	fem	gen	pos
adjective	_	dual	_	_	_	fem	gen	comp
adjective	_	dual	_	_	_	fem	gen	sup
adjective	_	dual	_	_	_	fem	nom	pos
adjective	_	dual	_	_	_	fem	nom	comp
adjective	_	dual	_	_	_	fem	nom	sup
adjective	_	dual	_	_	_	fem	voc	pos
adjective	_	dual	_	_	_	fem	voc	comp
adjective	_	dual	_	_	_	fem	voc	sup
adjective	_	dual	_	_	_	masc	acc	pos
adjective	_	dual	_	_	_	masc	acc	comp
adjective	_	dual	_	_	_	masc	acc	sup
adjective	_	dual	_	_	_	masc	dat	pos
adjective	_	dual	_	_	_	masc	dat	comp
adjective	_	dual	_	_	_	masc	dat	sup
adjective	_	dual	_	_	_	masc	gen	pos
adjective	_	dual	_	_	_	masc	gen	comp
adjective	_	dual	_	_	_	masc	gen	sup
adjective	_	dual	_	_	_	masc	nom	pos
adjective	_	dual	_	_	_	masc	nom	comp
adjective	_	dual	_	_	_	masc	nom	sup
adjective	_	dual	_	_	_	masc	voc	pos
adjective	_	dual	_	_	_	masc	voc	comp
adjective	_	dual	_	_	_	masc	voc	sup
adjective	_	dual	_	_	_	neut	acc	pos
adjective	_	dual	_	_	_	neut	acc	comp
adjective	_	dual	_	_	_	neut	acc	sup
adjective	_	dual	_	_	_	neut	dat	pos
adjective	_	dual	_	_	_	neut	dat	comp
adjective	_	dual	_	_	_	neut	dat	sup
adjective	_	dual	_	_	_	neut	gen	pos
adjective	_	dual	_	_	_	neut	gen	comp
adjective	_	dual	_	_	_	neut	gen	sup
adjective	_	dual	_	_	_	neut	nom	pos
adjective	_	dual	_	_	_	neut	nom	comp
adjective	_	dual	_	_	_	neut	nom	sup
adjective	_	dual	_	_	_	neut	voc	pos
adjective	_	dual	_	_	_	neut	voc	comp
adjective	_	dual	_	_	_	neut	voc	sup
adjective	_	dual	_	_	_	none	acc	pos
adjective	_	dual	_	_	_	none	acc	comp
adjective	_	dual	_	_	_	none	acc	sup
adjective	_	dual	_	_	_	none	dat	pos
adjective	_	dual	_	_	_	none	dat	comp
adjective	_	dual	_	_	_	none	dat	sup
adjective	_	dual	_	_	_	none	gen	pos
adjective	_	dual	_	_	_	none	gen	comp
adjective	_	dual	_	_	_	none	gen	sup
adjective	_	dual	_	_	_	none	nom	pos
adjective	_	dual	_	_	_	none	nom	comp
adjective	_	dual	_	_	_	none	nom	sup
adjective	_	dual	_	_	_	none	voc	pos
adjective	_	dual	_	_	_	none	voc	comp
adjective	_	dual	_	_	_	none	voc	sup
adverb	_	_	_	_	_	_	_	pos
adverb	_	_	_	_	_	_	_	comp
adverb	_	_	_	_	_	_	_	sup
article	_	sg	_	_	_	fem	acc	_
